,All manual employee grades,Skilled operatives,Apprentices,Unskilled and semi-skilled - adults,Unskilled and semi-skilled - juveniles,Clerical employees - female,Clerical employees - male,Foremen and supervisors,All employees (clerical and operatives)
"Source: Central Statistics Office, Ireland.",,,,,,,,,
1969Q1,n/a,0.56,n/a,0.47,n/a,n/a,n/a,n/a,n/a
1969Q2,n/a,0.57,n/a,0.48,n/a,n/a,n/a,n/a,n/a
1969Q3,0.55,0.63,0.27,0.52,0.25,0.37,0.56,0.72,0.53
1969Q4,n/a,0.66,n/a,0.52,n/a,n/a,n/a,n/a,n/a
1970Q1,n/a,0.66,n/a,0.53,n/a,n/a,n/a,n/a,n/a
1970Q2,n/a,0.67,n/a,0.56,n/a,n/a,n/a,n/a,n/a
1970Q3,0.6,0.69,0.28,0.57,0.28,0.41,0.63,0.79,0.6
1970Q4,n/a,0.7,n/a,0.57,n/a,n/a,n/a,n/a,n/a
1971Q1,n/a,0.77,n/a,0.65,n/a,n/a,n/a,n/a,n/a
1971Q2,n/a,0.77,n/a,0.65,n/a,n/a,n/a,n/a,n/a
1971Q3,0.7,0.79,0.36,0.67,0.33,0.52,0.76,0.91,0.69
1971Q4,n/a,0.83,n/a,0.7,n/a,n/a,n/a,n/a,n/a
1972Q1,n/a,0.88,n/a,0.74,n/a,n/a,n/a,n/a,n/a
1972Q2,n/a,0.88,n/a,0.74,n/a,n/a,n/a,n/a,n/a
1972Q3,0.84,0.95,0.42,0.81,0.43,0.57,0.83,1.07,0.83
1972Q4,n/a,0.95,n/a,0.81,n/a,n/a,n/a,n/a,n/a
1973Q1,n/a,0.98,n/a,0.83,n/a,n/a,n/a,n/a,n/a
1973Q2,n/a,0.98,n/a,0.84,n/a,n/a,n/a,n/a,n/a
1973Q3,0.91,1.03,0.46,0.9,0.42,0.66,1.04,1.19,0.91
1973Q4,n/a,1.07,n/a,0.9,n/a,n/a,n/a,n/a,n/a
1974Q1,1.03,1.16,0.51,1,0.46,0.72,1.08,1.37,1.03
1974Q2,n/a,1.19,n/a,1.03,n/a,n/a,n/a,n/a,n/a
1974Q3,1.12,1.24,0.61,1.09,0.67,0.85,1.07,1.41,1.1
1974Q4,n/a,1.27,n/a,1.09,n/a,n/a,n/a,n/a,n/a
1975Q1,1.23,1.38,0.72,1.21,0.67,0.88,1.31,1.51,1.22
1975Q2,n/a,1.49,n/a,1.3,n/a,n/a,n/a,n/a,n/a
1975Q3,1.37,1.55,0.81,1.37,0.9,1,1.47,1.71,1.37
1975Q4,n/a,1.6,n/a,1.38,n/a,n/a,n/a,n/a,n/a
1976Q1,1.41,1.56,0.86,1.37,0.93,1.08,1.6,1.82,1.41
1976Q2,n/a,1.6,n/a,1.38,n/a,n/a,n/a,n/a,n/a
1976Q3,1.59,1.78,1.02,1.55,0.88,1.14,1.68,1.99,1.57
1976Q4,n/a,1.83,n/a,1.6,n/a,n/a,n/a,n/a,n/a
