Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Value of Production Index in Building and Construction,2000,All building and construction,Base 2015=100,155.8522213
Value of Production Index in Building and Construction,2000,Building (excluding civil engineering),Base 2015=100,199.8442553
Value of Production Index in Building and Construction,2000,Residential building,Base 2015=100,311.6981599
Value of Production Index in Building and Construction,2000,Non-residential building,Base 2015=100,121.4312479
Value of Production Index in Building and Construction,2000,Civil engineering,Base 2015=100,63.61997861
Value of Production Index in Building and Construction,2001,All building and construction,Base 2015=100,176.5850759
Value of Production Index in Building and Construction,2001,Building (excluding civil engineering),Base 2015=100,222.6553714
Value of Production Index in Building and Construction,2001,Residential building,Base 2015=100,359.5504773
Value of Production Index in Building and Construction,2001,Non-residential building,Base 2015=100,126.2597058
Value of Production Index in Building and Construction,2001,Civil engineering,Base 2015=100,77.78060139
Value of Production Index in Building and Construction,2002,All building and construction,Base 2015=100,188.7022085
Value of Production Index in Building and Construction,2002,Building (excluding civil engineering),Base 2015=100,229.9604875
Value of Production Index in Building and Construction,2002,Residential building,Base 2015=100,391.5034446
Value of Production Index in Building and Construction,2002,Non-residential building,Base 2015=100,115.5689831
Value of Production Index in Building and Construction,2002,Civil engineering,Base 2015=100,95.15473211
Value of Production Index in Building and Construction,2003,All building and construction,Base 2015=100,211.0178318
Value of Production Index in Building and Construction,2003,Building (excluding civil engineering),Base 2015=100,262.1228127
Value of Production Index in Building and Construction,2003,Residential building,Base 2015=100,480.3809431
Value of Production Index in Building and Construction,2003,Non-residential building,Base 2015=100,106.6222056
Value of Production Index in Building and Construction,2003,Civil engineering,Base 2015=100,98.90832539
Value of Production Index in Building and Construction,2004,All building and construction,Base 2015=100,252.8198846
Value of Production Index in Building and Construction,2004,Building (excluding civil engineering),Base 2015=100,319.0701376
Value of Production Index in Building and Construction,2004,Residential building,Base 2015=100,605.1255572
Value of Production Index in Building and Construction,2004,Non-residential building,Base 2015=100,115.3682481
Value of Production Index in Building and Construction,2004,Civil engineering,Base 2015=100,107.384552
Value of Production Index in Building and Construction,2005,All building and construction,Base 2015=100,290.9410795
Value of Production Index in Building and Construction,2005,Building (excluding civil engineering),Base 2015=100,366.1171407
Value of Production Index in Building and Construction,2005,Residential building,Base 2015=100,698.4970261
Value of Production Index in Building and Construction,2005,Non-residential building,Base 2015=100,129.4468976
Value of Production Index in Building and Construction,2005,Civil engineering,Base 2015=100,125.9315247
Value of Production Index in Building and Construction,2006,All building and construction,Base 2015=100,319.8067377
Value of Production Index in Building and Construction,2006,Building (excluding civil engineering),Base 2015=100,397.2855563
Value of Production Index in Building and Construction,2006,Residential building,Base 2015=100,751.6700552
