"Local Authority","Mar","Apr","May","Jun","Jul","Aug","Sept","Oct","Nov","Dec"
"Carlow County",0,1,1,0,2,2,2,4,2,1
"Cavan County",1,1,4,2,5,5,2,6,8,8
"Clare County",0,0,1,3,4,7,8,9,7,5
"Cork City",0,0,0,2,3,1,1,2,4,0
"Cork County",0,2,2,10,25,17,26,22,17,22
"Donegal County",0,2,5,6,6,2,5,8,8,7
"Dublin City",0,1,3,5,7,7,6,9,8,6
"Dun-Laoghaire Rathdown",0,1,1,4,9,8,6,7,7,8
"Fingal County",0,1,10,11,11,11,6,15,17,1
"Galway City",0,0,0,0,0,0,1,2,1,0
"Galway County",0,2,4,2,9,10,16,20,12,14
"Kerry County",0,0,4,8,5,9,9,8,9,6
"Kildare County",0,0,0,2,11,7,12,9,8,10
"Kilkenny County",0,0,1,2,5,4,10,4,4,6
"Laois County",0,0,1,1,0,1,2,3,3,0
"Leitrim County",0,0,0,0,3,0,0,1,0,0
"Limerick City and County",0,1,1,3,8,8,5,7,5,9
"Longford County",0,0,1,1,0,0,0,0,1,0
"Louth County",0,0,4,2,5,5,3,8,5,8
"Mayo County",0,0,0,2,4,7,8,6,13,10
"Meath County",0,1,4,10,6,7,12,12,5,9
"Monaghan County",0,0,1,5,3,6,5,7,1,4
"Offaly County",0,0,1,1,3,0,3,6,4,0
"Roscommon County",0,1,0,0,1,5,3,4,1,2
"Sligo County",0,0,0,1,4,1,4,2,1,6
"South Dublin County",0,1,1,5,3,5,2,8,5,6
"Tipperary County",0,2,2,5,4,5,1,2,9,5
"Waterford City and County",0,4,4,4,5,7,12,8,5,4
"Westmeath County",0,0,0,0,1,3,3,3,1,4
"Wexford County",1,0,2,3,10,4,8,11,4,13
"Wicklow County",0,3,2,2,9,9,7,5,10,3
"Dublin Local Authorities",0,4,15,25,30,31,20,39,37,21
"Greater Dublin Area",0,8,25,41,61,59,54,73,65,51
