"Local Authority","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sept","Oct","Nov","Dec"
"Carlow County",3,0,4,11,6,1,8,2,4,2,3,4
"Cavan County",5,9,5,7,6,6,5,5,7,11,12,7
"Clare County",4,4,10,13,9,10,8,5,9,12,12,6
"Cork City",2,0,3,2,3,2,4,0,4,0,7,2
"Cork County",18,27,42,41,47,44,51,61,45,49,42,25
"Donegal County",9,9,6,20,19,21,19,18,12,17,15,12
"Dublin City",17,6,8,15,13,14,14,6,16,7,4,7
"Dun-Laoghaire Rathdown",6,11,10,12,21,8,12,14,14,24,9,9
"Fingal County",19,8,32,21,21,20,33,10,11,10,18,12
"Galway City",2,0,3,1,1,2,0,2,0,3,0,1
"Galway County",11,17,16,22,23,31,25,11,24,33,8,19
"Kerry County",4,7,18,14,17,14,16,16,14,17,9,8
"Kildare County",4,8,12,14,25,18,19,18,24,15,19,7
"Kilkenny County",2,3,12,11,12,9,8,11,8,4,10,9
"Laois County",2,8,6,5,3,2,7,8,6,7,3,6
"Leitrim County",0,0,0,3,3,4,3,1,2,3,1,1
"Limerick City and County",4,8,16,9,13,5,11,8,11,11,8,10
"Longford County",1,1,3,1,1,3,3,2,0,1,2,0
"Louth County",5,8,8,9,8,15,13,8,7,5,6,9
"Mayo County",8,16,8,11,7,12,14,19,17,6,5,8
"Meath County",8,13,25,16,24,17,21,13,24,28,20,7
"Monaghan County",2,0,8,6,7,4,9,6,5,6,11,3
"Offaly County",5,7,8,8,10,5,7,2,11,1,8,3
"Roscommon County",3,2,1,5,4,3,4,2,5,3,8,1
"Sligo County",1,0,6,6,1,5,5,1,3,7,5,0
"South Dublin County",7,6,12,3,5,3,7,7,6,15,3,2
"Tipperary County",7,4,6,5,10,11,10,8,8,11,8,5
"Waterford City and County",4,9,13,5,6,6,12,6,9,8,1,3
"Westmeath County",1,2,4,0,11,3,7,2,7,11,5,2
"Wexford County",7,10,14,12,15,18,13,11,15,19,14,6
"Wicklow County",5,5,12,6,6,10,13,13,20,13,11,3
"Dublin Local Authorities",49,31,62,51,60,45,66,37,47,56,34,30
"GDA - Greater Dublin Area",71,65,119,96,123,105,132,89,122,117,90,56
