"Local Authority","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"Carlow County",2,5,8,3,6,7,5,9,6,8,5,6
"Cavan County",6,8,7,5,10,11,8,7,12,11,7,12
"Clare County",9,21,22,7,17,20,13,10,18,23,15,19
"Cork City",7,8,16,3,2,8,10,8,13,14,9,18
"Cork County",35,35,66,46,27,50,56,59,59,62,54,44
"Donegal County",15,17,17,20,14,28,28,18,24,23,29,20
"Dublin City",17,17,12,6,6,12,9,12,13,8,13,9
"Dun-Laoghaire Rathdown",10,21,13,6,4,9,16,7,16,8,7,5
"Fingal County",17,12,14,6,7,17,12,9,14,11,10,20
"Galway City",1,2,2,4,2,1,7,8,3,6,7,1
"Galway County",29,33,34,32,37,41,53,17,36,33,47,33
"Kerry County",18,15,16,15,13,20,15,13,23,19,15,12
"Kildare County",13,15,21,8,12,14,17,32,26,24,19,19
"Kilkenny County",14,19,18,13,16,17,9,20,11,21,18,6
"Laois County",9,7,10,13,2,16,12,12,18,16,14,13
"Leitrim County",2,4,5,1,6,5,7,2,3,5,1,1
"Limerick City and County",15,11,23,11,10,22,18,15,20,23,17,10
"Longford County",1,7,4,5,4,5,10,3,9,3,0,4
"Louth County",9,20,23,7,5,8,13,14,12,14,13,27
"Mayo County",14,19,28,13,12,21,23,14,26,17,33,12
"Meath County",19,26,21,13,19,28,30,32,30,41,26,20
"Monaghan County",10,11,9,18,11,17,12,7,9,13,13,10
"Offaly County",8,11,10,12,7,9,14,8,4,13,14,9
"Roscommon County",7,8,8,8,7,7,11,1,6,7,7,7
"Sligo County",7,7,9,4,4,7,9,4,11,11,7,1
"South Dublin County",8,12,15,3,3,6,8,7,3,6,11,5
"Tipperary County",7,13,11,9,8,13,10,10,14,19,17,11
"Waterford City and County",13,14,13,2,6,16,12,13,14,16,11,8
"Westmeath County",7,11,12,7,8,10,11,11,9,6,13,11
"Wexford County",12,12,26,18,13,25,22,16,30,27,27,16
"Wicklow County",12,15,9,6,19,7,18,6,12,24,10,10
"Dublin Local Authorities",52,62,54,21,20,44,45,35,46,33,41,39
"Greater Dublin Area",105,138,128,55,75,101,123,119,126,136,109,115
